code,naam,categorie,bestand,bronpagina
E031,Algemeen scheepsalarm,Evacuatie en redding,afbeeldingen/E031.png,25
E032,Verzamelplaats aan boord,Evacuatie en redding,afbeeldingen/E032.png,25
E033,Deur naar rechts schuiven om te openen,Evacuatie en redding,afbeeldingen/E033.png,25
E034,Deur naar links schuiven om te openen,Evacuatie en redding,afbeeldingen/E034.png,25
E035,Mes voor overlevingsvlot,Evacuatie en redding,afbeeldingen/E035.png,25
E036,Overlevingsboot,Evacuatie en redding,afbeeldingen/E036.png,25
E037,Reddingsboot,Evacuatie en redding,afbeeldingen/E037.png,25
E038,Overlevingsvlot,Evacuatie en redding,afbeeldingen/E038.png,25
E039,Overlevingsvlot David,Evacuatie en redding,afbeeldingen/E039.png,25
E040,Reddingsboei,Evacuatie en redding,afbeeldingen/E040.png,25
E041,Reddingsboei met touw,Evacuatie en redding,afbeeldingen/E041.png,26
E042,Reddingsboei met licht,Evacuatie en redding,afbeeldingen/E042.png,26
E043,Reddingsboei met touw en licht,Evacuatie en redding,afbeeldingen/E043.png,26
E044,Reddingsvest,Evacuatie en redding,afbeeldingen/E044.png,26
E045,Reddingsvest voor kinderen,Evacuatie en redding,afbeeldingen/E045.png,26
E046,Reddingsvest voor baby's,Evacuatie en redding,afbeeldingen/E046.png,26
E047,Radartransponder,Evacuatie en redding,afbeeldingen/E047.png,26
E048,Noodsignalen vuurpĳlen,Evacuatie en redding,afbeeldingen/E048.png,26
E049,Parachutesignalen,Evacuatie en redding,afbeeldingen/E049.png,26
E050,Lĳnwerpapparaat,Evacuatie en redding,afbeeldingen/E050.png,26
E051,Draagbare meldingsradio,Evacuatie en redding,afbeeldingen/E051.png,26
E052,EPIRB,Evacuatie en redding,afbeeldingen/E052.png,26
E053,Inscheepladder,Evacuatie en redding,afbeeldingen/E053.png,26
E054,Evacuatieglĳbaan,Evacuatie en redding,afbeeldingen/E054.png,26
E055,Valpĳp voor evacuatie,Evacuatie en redding,afbeeldingen/E055.png,26
E056,Overlevingspak,Evacuatie en redding,afbeeldingen/E056.png,26
E057,Trek aan de linkerkant om deur te openen,Evacuatie en redding,afbeeldingen/E057.png,26
E058,Trek aan de rechterkant om deur te openen,Evacuatie en redding,afbeeldingen/E058.png,26
